,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
0,AA School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Oxford,Low
1,ABI College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Guildford,Low
2,Access to Music Limited,40,25,5.51,86.3,0,5.3,1.9,10,28.9,11.8,5.51,0.5,112.8,England,2014-15,London,High
3,Academy of Live and Recorded Arts,65,55,3.31,88.1,0,3.2,2.4,5,7.9,9.5,3.31,0.4,123.1,England,2014-15,Birmingham,Moderate
4,Anglia Ruskin University,4285,3575,0.45,86.6,145,3.4,2.8,565,13.2,10.6,0.45,3.1,88.2,England,2014-15,Cambridge,High
5,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Cambridge,Low
6,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
7,Arts Educational School,70,70,2.8,89.6,0,0,2.3,5,4.2,8.1,2.8,0.3,128.3,England,2014-15,Coventry,Low
8,Aston University,2170,2005,0.5,90.8,80,3.7,2.9,90,4.1,6.3,0.5,2,97.1,England,2014-15,Birmingham,Low
9,Bath Spa University,1795,1655,0.59,90.3,30,1.7,2.3,110,6.2,7.4,0.59,1.5,105.3,England,2014-15,Bristol,Moderate
10,The University of Bath,2560,2450,0.43,94.4,35,1.4,1.9,70,2.8,3.7,0.43,6,72.7,England,2014-15,Birmingham,Low
11,University of Bedfordshire,2975,2475,0.54,85.6,110,3.7,2.8,395,13.2,11.6,0.54,2.1,96.2,England,2014-15,Birmingham,High
12,BIMM Limited,1505,1205,0.81,86.9,45,2.9,2.4,255,16.9,10.8,0.81,6.5,121.4,England,2014-15,Bristol,High
13,Birkbeck College,955,745,1.01,83.6,35,3.7,3,175,18.3,13.5,1.01,3.5,74.3,England,2014-15,London,High
14,Birmingham City University,5425,4760,0.37,87.6,155,2.9,2.9,505,9.3,9.5,0.37,3,99.8,England,2014-15,Birmingham,Moderate
15,The University of Birmingham,5395,5125,0.3,94.3,90,1.7,1.9,180,3.3,3.8,0.3,4.6,79.7,England,2014-15,Birmingham,Low
16,University College Birmingham,835,730,0.98,86,20,2.2,2.6,90,10.9,11.4,0.98,1.6,103.1,England,2014-15,Birmingham,High
17,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Bournemouth,Low
18,Bishop Grosseteste University,605,570,0.93,91.3,10,1.8,1.8,25,3.8,6.9,0.93,2.7,77.8,England,2014-15,Lincoln,Low
19,The University of Bolton,1215,925,0.91,84.2,85,6.9,3.3,205,16.9,12.4,0.91,1.2,95.5,England,2014-15,Bolton,High
20,The Arts University Bournemouth,835,785,0.82,89.8,10,1.3,2.3,40,4.8,7.9,0.82,2.3,116.7,England,2014-15,Brighton,Low
21,Bournemouth University,3895,3530,0.41,88.6,85,2.2,2.8,280,7.2,8.6,0.41,2.5,100.3,England,2014-15,London,Moderate
